city,population
New York,"8,008,278"
Los Angeles,"3,694,820"
Chicago,"2,896,016"
Houston,"1,953,631"
Philadelphia,"1,517,550"
Phoenix,"1,321,045"
San Diego,"1,223,400"
Dallas,"1,188,580"
San Antonio,"1,144,646"
Detroit,"951,270"
San Jose,"894,943"
Indianapolis,"791,926"
San Francisco,"776,733"
Jacksonville,"735,617"
Columbus,"711,470"
Austin,"656,562"
Baltimore,"651,154"
Memphis,"650,100"
Milwaukee,"596,974"
Boston,"589,141"
Washington,"572,059"
Nashville,"569,891"
El Paso,"563,662"
Seattle,"563,374"
Denver,"554,636"
Charlotte,"540,828"
Fort Worth,"534,694"
Portland,"529,121"
Oklahoma City,"506,132"
Tucson,"486,699"
New Orleans,"484,674"
Las Vegas,"478,434"
Cleveland,"478,403"
Long Beach,"461,522"
Albuquerque,"448,607"
Kansas City,"441,545"
Fresno,"427,652"
Virginia Beach,"425,257"
San Juan,"421,958"
Atlanta,"416,474"
Sacramento,"407,018"
Oakland,"399,484"
Mesa,"396,375"
Tulsa,"393,049"
Omaha,"390,007"
Minneapolis,"382,618"
Honolulu,"371,657"
Miami,"362,470"
Colorado Springs,"360,890"
St. Louis,"348,189"
Wichita,"344,284"
Santa Ana,"337,977"
Pittsburgh,"334,563"
Arlington,"332,969"
