State,date,DelinqRate
Alabama,2010-01-01,5.3
Alabama,2010-02-01,4.8
Alabama,2010-03-01,4.3
Alabama,2010-04-01,4.4
Alabama,2010-05-01,4.7
Alabama,2010-06-01,4.8
Alabama,2010-07-01,5.0
Alabama,2010-08-01,5.0
Alabama,2010-09-01,5.0
Alabama,2010-10-01,4.9
Alabama,2010-11-01,4.9
Alabama,2010-12-01,5.1
Alabama,2011-01-01,5.0
Alabama,2011-02-01,4.6
Alabama,2011-03-01,4.1
Alabama,2011-04-01,3.9
Alabama,2011-05-01,4.2
Alabama,2011-06-01,4.1
Alabama,2011-07-01,4.2
Alabama,2011-08-01,4.4
Alabama,2011-09-01,4.3
Alabama,2011-10-01,4.5
Alabama,2011-11-01,4.5
Alabama,2011-12-01,4.8
Alabama,2012-01-01,5.0
Alabama,2012-02-01,4.3
Alabama,2012-03-01,4.1
Alabama,2012-04-01,4.1
Alabama,2012-05-01,4.3
Alabama,2012-06-01,4.3
Alabama,2012-07-01,4.5
Alabama,2012-08-01,4.6
Alabama,2012-09-01,4.5
Alabama,2012-10-01,4.7
Alabama,2012-11-01,4.8
Alabama,2012-12-01,4.9
Alabama,2013-01-01,4.8
Alabama,2013-02-01,4.6
Alabama,2013-03-01,4.2
Alabama,2013-04-01,3.9
Alabama,2013-05-01,3.7
Alabama,2013-06-01,3.8
Alabama,2013-07-01,4.1
Alabama,2013-08-01,4.1
Alabama,2013-09-01,3.7
Alabama,2013-10-01,4.0
Alabama,2013-11-01,3.8
Alabama,2013-12-01,4.0
Alabama,2014-01-01,4.3
Alabama,2014-02-01,3.7
Alabama,2014-03-01,3.5
Alabama,2014-04-01,3.1
Alabama,2014-05-01,3.3
Alabama,2014-06-01,3.1
Alabama,2014-07-01,3.5
Alabama,2014-08-01,3.8
Alabama,2014-09-01,3.3
Alabama,2014-10-01,3.5
Alabama,2014-11-01,3.4
Alabama,2014-12-01,3.8
Alabama,2015-01-01,3.7
Alabama,2015-02-01,3.1
Alabama,2015-03-01,2.9
Alabama,2015-04-01,2.9
Alabama,2015-05-01,3.2
Alabama,2015-06-01,3.1
Alabama,2015-07-01,3.3
Alabama,2015-08-01,3.6
Alabama,2015-09-01,3.3
Alabama,2015-10-01,3.5
Alabama,2015-11-01,3.2
Alabama,2015-12-01,3.6
Alabama,2016-01-01,3.8
Alabama,2016-02-01,3.1
Alabama,2016-03-01,2.9
Alabama,2016-04-01,2.7
Alabama,2016-05-01,2.9
Alabama,2016-06-01,2.9
Alabama,2016-07-01,3.3
Alabama,2016-08-01,3.4
Alabama,2016-09-01,3.1
Alabama,2016-10-01,3.5
Alabama,2016-11-01,3.3
Alabama,2016-12-01,3.5
Alabama,2017-01-01,3.8
Alabama,2017-02-01,3.3
Alabama,2017-03-01,3.0
Alabama,2017-04-01,3.0
Alabama,2017-05-01,2.9
Alabama,2017-06-01,2.9
Alabama,2017-07-01,3.2
Alabama,2017-08-01,3.4
Alabama,2017-09-01,3.2
Alabama,2017-10-01,3.2
Alabama,2017-11-01,3.4
