county,total,harris,trump
ADAMS,"12,882","4,443","7,763"
ASHLAND,"8,955","4,612","4,191"
BARRON,"26,809","8,941","16,726"
BAYFIELD,"11,240","6,107","4,860"
BROWN,"149,333","67,937","79,132"
BUFFALO,"8,100","2,765","5,213"
BURNETT,"10,810","3,665","7,008"
CALUMET,"32,916","12,927","19,488"
CHIPPEWA,"38,471","14,573","23,399"
CLARK,"15,340","4,509","10,481"
COLUMBIA,"34,914","16,388","17,988"
CRAWFORD,"9,105","3,860","5,113"
DANE,"365,929","273,995","85,454"
DODGE,"50,300","16,518","33,067"
DOOR,"20,944","10,565","10,099"
DOUGLAS,"25,234","13,073","11,732"
DUNN,"25,678","10,643","14,726"
EAU CLAIRE,"63,177","34,400","27,728"
FLORENCE,"3,158",783,"2,356"
FOND DU LAC,"58,527","20,495","37,272"
FOREST,"5,097","1,681","3,382"
GRANT,"27,306","10,966","15,922"
GREEN,"22,076","10,903","10,843"
GREEN LAKE,"11,052","3,449","7,458"
IOWA,"14,677","7,750","6,631"
IRON,"4,084","1,487","2,557"
JACKSON,"10,502","4,157","6,204"
JEFFERSON,"50,146","20,574","28,771"
JUNEAU,"14,553","4,854","9,525"
KENOSHA,"90,680","41,826","47,478"
KEWAUNEE,"12,484","4,059","8,267"
LA CROSSE,"72,261","39,008","32,247"
LAFAYETTE,"8,832","3,469","5,256"
LANGLADE,"11,664","3,746","7,782"
LINCOLN,"17,209","6,306","10,633"
MANITOWOC,"46,316","17,399","28,200"
MARATHON,"78,826","31,529","46,213"
MARINETTE,"24,415","7,415","16,670"
MARQUETTE,"9,427","3,252","6,041"
MENOMINEE,"1,572","1,266",296
MILWAUKEE,"464,107","316,292","138,022"
MONROE,"23,369","8,476","14,563"
OCONTO,"24,912","6,967","17,675"
ONEIDA,"24,895","10,080","14,455"
OUTAGAMIE,"111,932","49,438","60,827"
OZAUKEE,"63,472","27,874","34,504"
PEPIN,"4,354","1,523","2,798"
PIERCE,"25,392","10,171","14,417"
POLK,"28,222","9,567","18,296"
PORTAGE,"43,258","21,503","20,987"
PRICE,"8,856","3,005","5,763"
RACINE,"107,686","49,721","56,347"
RICHLAND,"9,323","3,985","5,207"
ROCK,"88,310","46,642","40,218"
RUSK,"8,270","2,516","5,660"
SAUK,"37,584","18,172","18,798"
SAWYER,"11,140","4,599","6,422"
SHAWANO,"23,500","7,336","15,850"
SHEBOYGAN,"67,562","27,735","38,763"
ST. CROIX,"60,642","23,870","35,537"
TAYLOR,"11,186","2,823","8,209"
TREMPEALEAU,"16,079","6,219","9,661"
VERNON,"16,609","7,514","8,807"
VILAS,"16,135","6,119","9,837"
WALWORTH,"60,597","23,161","36,603"
WASHBURN,"10,978","3,867","6,962"
WASHINGTON,"91,407","28,504","61,604"
WAUKESHA,"275,787","108,478","162,768"
WAUPACA,"30,403","9,947","20,093"
WAUSHARA,"14,363","4,571","9,625"
WINNEBAGO,"95,371","44,660","49,179"
WOOD,"42,216","16,599","24,997"
