Date,sp500,osk
2017-10-24,2569.13,89.68
2017-10-25,2557.15,89.18
2017-10-26,2560.4,90.610001
2017-10-27,2581.07,91.019997
2017-10-30,2572.83,89.57
2017-10-31,2575.26,91.559998
2017-11-01,2579.36,87.660004
2017-11-02,2579.85,87.029999
2017-11-03,2587.84,86.639999
2017-11-06,2591.13,88.120003
2017-11-07,2590.64,87.290001
2017-11-08,2594.38,85.050003
2017-11-09,2584.62,83.860001
2017-11-10,2582.3,84.900002
2017-11-13,2584.84,85.510002
2017-11-14,2578.87,85.809998
2017-11-15,2564.62,84.059998
2017-11-16,2585.64,84.599998
2017-11-17,2578.85,85.269997
2017-11-20,2582.14,86.589996
2017-11-21,2599.03,86.230003
2017-11-22,2597.08,85.900002
2017-11-24,2602.42,86.349998
2017-11-27,2601.42,85.760002
2017-11-28,2627.04,87.489998
2017-11-29,2626.07,88.879997
2017-11-30,2647.58,90.040001
2017-12-01,2642.22,88.889999
2017-12-04,2639.44,92.099998
2017-12-05,2629.57,89.57
2017-12-06,2629.27,87.910004
2017-12-07,2636.98,88.0
2017-12-08,2651.5,88.779999
2017-12-11,2659.99,88.459999
2017-12-12,2664.11,88.379997
2017-12-13,2662.85,89.099998
2017-12-14,2652.01,87.720001
2017-12-15,2675.81,88.57
2017-12-18,2690.16,90.309998
2017-12-19,2681.47,89.709999
2017-12-20,2679.25,90.18
2017-12-21,2684.57,91.110001
2017-12-22,2683.34,91.400002
2017-12-26,2680.5,91.339996
2017-12-27,2682.62,91.169998
2017-12-28,2687.54,90.970001
2017-12-29,2673.61,90.889999
2018-01-02,2695.81,92.169998
2018-01-03,2713.06,92.029999
2018-01-04,2723.99,91.279999
2018-01-05,2743.15,89.970001
2018-01-08,2747.71,90.660004
2018-01-09,2751.29,90.940002
2018-01-10,2748.23,90.160004
2018-01-11,2767.56,91.150002
2018-01-12,2786.24,92.290001
2018-01-16,2776.42,91.019997
2018-01-17,2802.56,90.739998
2018-01-18,2798.03,91.150002
2018-01-19,2810.3,94.849998
2018-01-22,2832.97,93.980003
2018-01-23,2839.13,94.089996
2018-01-24,2837.54,93.040001
2018-01-25,2839.25,95.330002
2018-01-26,2872.87,96.239998
2018-01-29,2853.53,92.68
2018-01-30,2822.43,92.150002
2018-01-31,2823.81,90.720001
2018-02-01,2821.98,92.279999
2018-02-02,2762.13,87.449997
