NAME,PORT
"PORTLAND, ME",101
"BANGOR, ME",102
"EASTPORT, ME",103
"JACKMAN, ME",104
"VANCEBORO, ME",105
"HOULTON, ME",106
"FORT FAIRFIELD, ME",107
"VAN BUREN, ME",108
"MADAWASKA, ME",109
"FORT KENT, ME",110
"BATH, ME",111
"BAR HARBOR, ME",112
"CALAIS, ME",115
"LIMESTONE, ME",118
"ROCKLAND, ME",121
"JONESPORT, ME",122
"BRIDGEWATER, ME",127
"PORTSMOUTH, NH",131
"BELFAST, ME",132
"SEARSPORT, ME",152
"MANCHESTER USER FEE AIRPORT, NH",182
"ST. ALBANS, VT",201
"RICHFORD, VT",203
"BEECHER FALLS, VT",206
"BURLINGTON, VT",207
"DERBY LINE, VT",209
"NORTON, VT",211
"HIGHGATE SPRINGS/ALBURG, VT",212
"BOSTON, MA",401
"SPRINGFIELD, MA",402
"WORCESTER, MA",403
"GLOUCESTER, MA",404
"NEW BEDFORD, MA",405
"PLYMOUTH, MA",406
"FALL RIVER, MA",407
"SALEM, MA",408
"BRIDGEPORT,CT",410
HARTFORD. CT,411
"NEW HAVEN,CT",412
"NEW LONDON, CT",413
"LAWRENCE, MA",416
"LOGAN AIRPORT, MA",417
"L.G. HANSCOM FIELD, MA",481
"NEWPORT, RI",501
"PROVIDENCE, RI",502
"MELLVILLE, RI",503
"OGDENSBURG, NY",701
"MASSENA, NY",704
"CAPE VINCENT, NY",706
"ALEXANDRIA BAY, NY",708
"CHAMPLAIN-ROUSES POINT, NY",712
"CLAYTON, NY",714
"TROUT RIVER, NY",715
"BUFFALO-NIAGARA FALLS, NY",901
"ROCHESTER, NY",903
"OSWEGO, NY",904
"SODUS POINT, NY",905
"SYRACUSE, NY",906
"BINGHAMTON REGIONAL AIRPORT, NY",981
"ITHICA TOMPKINS INTL AIR, ITHACA, NY",983
"NEW YORK, NY",1001
"ALBANY, NY",1002
"PHILADELPHIA, PA",1101
"CHESTER, PA",1102
"WILMINGTON, DE",1103
"PITTSBURGH, PA",1104
"PAULSBORO, NJ",1105
"WILKES-BARRE/SCRANTON, PA",1106
"CAMDEN, NJ",1107
"PHILA. INTL. AIRPORT, PA",1108
"HARRISBURG, PA",1109
"GLOUCESTER CITY, NJ",1113
"ALLENTOWN, PA (LEHIGH VALLEY INTL AIRPT)",1119
"ATLANTIC CITY REGIONAL AIRPORT, NJ",1182
"TRENTON/MERCER COUNTY AIRPORT, NJ",1183
"UPS, PHILADELPHIA, PA",1195
"ANNAPOLIS, MD",1301
"CAMBRIDGE, MD",1302
"BALTIMORE, MD",1303
"CRISFIELD, MD",1304
"BWI INTERNATIONAL AIRPORT, MD",1305
"NORFOLK-NEWPORT NEWS, VA",1401
"RICHMOND-PETERSBURG, VA",1404
"CHARLESTON, WV",1409
"FRONT ROYAL, VA",1410
"NEW RIVER VALLEY, VA",1412
"WILMINGTON, NC",1501
"WINSTON-SALEM, NC",1502
"DURHAM, NC",1503
"BEAUFORT-MOREHEAD CTY,NC",1511
"CHARLOTTE, NC",1512
"CHARLESTON, SC",1601
"GEORGETOWN, SC",1602
"GREENVILLE-SPARTANBRG, SC",1603
"COLUMBIA, SC",1604
"MYRTLE BEACH INTL AIRPORT, SC",1681
"BRUNSWICK, GA",1701
"SAVANNAH, GA",1703
"ATLANTA, GA",1704
"DHL HUB, ATLANTA, GA",1791
"TAMPA, FL",1801
"JACKSONVILLE, FL",1803
"FERNANDINA BEACH, FL",1805
"BOCA GRANDE, FL",1807
"ORLANDO, FL",1808
"ORLANDO-SANFORD AIRPORT, FL",1809
"ST. PETERSBURG, FL",1814
"PORT CANAVERAL, FL",1816
"PANAMA CITY, FL",1818
"PENSACOLA, FL",1819
"PORT MANATEE, FL",1821
"FORT MYERS AIRPORT, FL",1822
"NAPLES MUNICIPAL USER FEE AIRP, FL",1880
"SARASOTA BRADENTON ARPT, FL",1883
"DAYTONA BEACH INT'L ARPT, FL",1884
"MELBOURNE REGIONAL AIRPORT, FL",1885
"LEESBURG REGIONAL AIRP, LEESBURG, FL",1887
"ORLANDO EXECUTIVE AIRPORT, FL",1888
"ST. AUGUSTINE AIRPORT, FL",1889
"MOBILE, AL",1901
"GULFPORT, MS",1902
"PASCAGOULA, MS",1903
"BIRMINGHAM, AL",1904
"HUNTSVILLE, AL",1910
"MORGAN CITY, LA",2001
"NEW ORLEANS, LA",2002
"LITTLE ROCK, AR",2003
"BATON ROUGE, LA",2004
"MEMPHIS, TN",2006
"NASHVILLE, TN",2007
"CHATTANOOGA, TN",2008
"GRAMERCY, LA",2010
"GREENVILLE, MS",2011
"VICKSBURG, MS",2015
"KNOXVILLE, TN",2016
"LAKE CHARLES, LA",2017
"SHREVEPORT/BOSSIER CITY, LA",2018
"TRI-CITIES AIRPORT, TN",2027
"FEDEX, MEMPHIS, TN",2095
"PORT ARTHUR, TX",2101
"SABINE, TX",2102
"ORANGE, TX",2103
"BEAUMONT, TX",2104
"BROWNSVILLE, TX",2301
"DEL RIO, TX",2302
"EAGLE PASS, TX",2303
"LAREDO, TX",2304
"HIDALGO, PHARR, TX",2305
"RIO GRANDE CITY, TX",2307
"PROGRESO, TX",2309
"ROMA, TX",2310
"VALLEY INTL AIRPORT, HARLINGEN, TX",2383
"YSLETA, TX",2401
"EL PASO, TX",2402
"PRESIDIO, TX",2403
"FABENS, TX",2404
"COLUMBUS, NM",2406
"ALBUQUERQUE, NM",2407
"SANTA TERESA, NM",2408
"SANTA TERESA AIRPORT, NM",2481
"SAN DIEGO, CA",2501
"ANDRADE, CA",2502
"CALEXICO, CA",2503
SAN YSIDRO,2504
"TECATE, CA",2505
OTAY MESA,2506
CALEXICO-EAST,2507
"DOUGLAS, AZ",2601
"LUKEVILLE, AZ",2602
"NACO, AZ",2603
"NOGALES, AZ",2604
"PHOENIX, AZ",2605
"SASABE, AZ",2606
"SAN LUIS, AZ",2608
"TUCSON, AZ",2609
"LOS ANGELES, CA",2704
"LONG BEACH, CA",2709
"VENTURA, CA",2712
"PORT HUENEME, CA",2713
"CAPITAN, CA",2715
"MORRO BAY, CA",2719
"ONTARIO INTL AIRPORT, CA",2721
"LAS VEGAS, NV",2722
"DHL, LOS ANGELES, CA",2770
"TNT EXPRESS, LAX, CA",2775
IBC PACIFIC,2776
"MEADOWS FIELD AIRPORT, CA",2786
"LOS ANGELES, CA",2791
"UPS-ONTARIO, CA",2795
"SAN FRANCISCO INTL ARPT, CA",2801
"EUREKA, CA",2802
"FRESNO, CA",2803
"MONTEREY, CA",2805
"SAN FRANCISCO, CA",2809
"STOCKTON, CA",2810
"OAKLAND, CA",2811
"RICHMOND,CA",2812
"CROCKETT,CA",2815
"MARTINEZ,CA",2820
"REDWOOD CITY,CA",2821
"SELBY,CA",2827
"SAN JUAQUIN RIVER,CA",2828
"SAN PABLO BAY,CA",2829
"CARQUINEZ STRAIT,CA",2830
"RENO, NV",2833
"SAN JOSE INTL AIRPORT, CA",2834
"SACRAMENTO INT'L AIRPORT, CA",2835
AIRCARGO HANDLING SERVIC,2871
"FEDEX, OAKLAND, CA",2895
"ASTORIA, OR",2901
"NEWPORT, OR",2902
"COOS BAY, OR",2903
"PORTLAND, OR",2904
"LONGVIEW, WA",2905
"BOISE, ID",2907
"VANCOUVER, WA",2908
"KALAMA, WA",2909
"PORTLAND INTL AIRPORT, OR",2910
"SEATTLE, WA",3001
"TACOMA, WA",3002
"ABERDEEN, WA",3003
"BLAINE, WA",3004
"BELLINGHAM, WA",3005
"EVERETT, WA",3006
"PORT ANGELES, WA",3007
"PORT TOWNSEND, WA",3008
"SUMAS, WA",3009
"ANACORTES, WA",3010
"NIGHTHAWK, WA",3011
"DANVILLE, WA",3012
"FERRY, WA",3013
"FRIDAY HARBOR, WA",3014
"BOUNDARY, WA",3015
"LAURIER, WA",3016
"POINT ROBERTS, WA",3017
"KENMORE AIR HARBOR, WA",3018
"OROVILLE, WA",3019
"FRONTIER, WA",3020
"SPOKANE, WA",3022
"LYNDEN, WA",3023
METALINE FALLS,3025
"OLYMPIA, WA",3026
SEATTLE-TACOMA INTL ARPT,3029
"UPS, SEATTLE, WA",3071
AVION BROKERS @ SEATAC,3072
DHL WORLDWIDE EXPRESS,3073
AIRBORNE EXPRESS @SEATAC,3074
GRANT COUNTY AIRPORT,3082
"UPS COURIER HUB, SEATTLE, WA",3095
"JUNEAU, AK",3101
"KETCHIKAN, AK",3102
"SKAGWAY, AK",3103
"ALCAN, AK",3104
"WRANGELL, AK",3105
"DALTON CACHE, AK",3106
"FAIRBANKS, AK",3111
"SITKA, AK",3115
"ANCHORAGE, AK",3126
"FEDEX, ANCHORAGE, AK",3195
"UPS COURIER HUB, ANCHORAGE, AK",3196
"HONOLULU, HI",3201
"HILO, HI",3202
"KAHULUI, HI",3203
"NAWILIWILI-PORT ALLEN,HI",3204
"HONOLULU INTL AIRPRT, HI",3205
"KONA, HI",3206
"FEDEX CORP HONOLULU, HI",3279
"RAYMOND, MT",3301
"EASTPORT, ID",3302
"SALT LAKE CITY, UT",3303
"GREAT FALLS, MT",3304
"BUTTE, MT",3305
"TURNER, MT",3306
"DENVER, CO",3307
"PORTHILL, ID",3308
"SCOBY, MT",3309
"SWEETGRASS, MT",3310
"PIEGAN, MT",3316
"OPHEIM, MT",3317
"ROOSVILLE, MT",3318
"MORGAN, MT",3319
"WHITLASH, MT",3321
"DEL BONITA, MT",3322
"WILDHORSE, MT",3323
KALISPELL AIRPORT,3324
"WILLOW CREEK, HAVRE, MT",3325
"ARAPAHOE COUNTY PUBLIC AIRPORT, CO",3384
EAGLE COUNTY REGIONAL AIRPORT,3385
"BOZEMAN YELLOWSTONE USER FEE AIRPORT, BELGRADE, MT",3386
"PEMBINA, ND",3401
"PORTAL, ND",3403
"NECHE, ND",3404
"ST JOHN, ND",3405
"NORTHGATE, ND",3406
"WALHALLA, ND",3407
"HANNAH, ND",3408
"SARLES, ND",3409
"AMBROSE, ND",3410
"FARGO,ND",3411
"ANTLER, ND",3413
"SHERWOOD, ND",3414
"HANSBORO, ND",3415
"MAIDA, ND",3416
"FORTUNA, ND",3417
"WESTHOPE, ND",3419
"NOONAN, ND",3420
"CARBURY, ND",3421
"DUNSEITH, ND",3422
"WARROAD, MN",3423
"BAUDETTE, MN",3424
"PINECREEK, MN",3425
"ROSEAU, MN",3426
"GRAND FORKS, ND",3427
"LANCASTER, MN",3430
"WILLISTON AIRPORT, ND",3433
"MINOT AIRPORT, ND",3434
"MINNEAPOLIS-ST. PAUL, MN",3501
"SIOUX FALLS, S.D.",3502
"DULUTH, MN-SUPERIOR, WI",3510
"ASHLAND, WI",3511
"OMAHA, NE",3512
"DES MOINES, IA",3513
"ROCHESTER USER FEE AIRP, ROCHESTER, MN",3581
"INTERNATIONAL FALLS, MN",3604
"GRAND PORTAGE, MN",3613
"MILWAUKEE, WI",3701
"MARINETTE, WI",3702
"GREEN BAY, WI",3703
"MANITOWOC, WI",3706
"RACINE, WI",3708
"DETROIT, MI",3801
"PORT HURON, MI",3802
"SAULT STE. MARIE, MI",3803
"SAGINAW/BAY CITY, MI",3804
"BATTLE CREEK, MI",3805
"GRAND RAPIDS, MI",3806
"DETROIT METRO AIRPORT, DETROIT, MI",3807
"ESCANABA, MI",3808
"MARQUETTE, MI",3809
"ALGONAC, MI",3814
"MUSKEGON, MI",3815
"GRAND HAVEN, MI",3816
"ROGERS CITY, MI",3818
"DETOUR, MI",3819
"PRESQUE ISLE, MI",3842
"ALPENA, MI",3843
OAKLAND/PONTIAC AIRPORT,3881
WILLOW RUN AIRPORT,3882
"CAPITAL REGION INTL AIRPORT, LANSING, MI",3883
"CHICAGO, IL",3901
"PEORIA, IL",3902
"GARY, IN",3905
DAVENPORT-ROCK ISLAND,3908
GREATER ROCKFORD AIRPORT,3909
"CHICAGO MIDWAY INT'L AIRPORT, IL",3910
"TNT EXPRESS CONSIGNMENT, CHICAGO, IL",3971
"CHICAGO EXECUTIVE AIRPORT, IL",3983
"DUPAGE AIRPORT, IL",3984
"UFA UI WILLARD AIRPORT, SAVOY, IL",3987
"CLEVELAND, OH",4101
"CINCINNATI, OH",4102
"COLUMBUS, OH",4103
"DAYTON, OH",4104
"TOLEDO, OH",4105
"ERIE, PA",4106
"INDIANAPOLIS, IN",4110
"LOUISVILLE, KY",4115
"OWENSBORO, KY",4116
"LORAIN, OH",4121
"ASHTABULA/CONNEAUT, OH",4122
FORT WAYNE AIRPORT,4183
BLUE GRASS AIRPORT,4184
UPS COURIER,4196
"DHL CINCINNATI, OH",4197
"FEDEX, INDIANAPOLIS, IN",4198
"KANSAS CITY, MO",4501
"ST JOSEPH, MO",4502
"ST LOUIS, MO",4503
"WICHITA, KS",4504
"SPRINGFIELD, MO",4505
"MIDAMERICAN AIRPORT, IL",4581
"NEWARK, NJ",4601
"PERTH AMBOY, NJ",4602
"UPS, NEWARK, NJ",4670
"FEDEX ECCF, NEWARK, NJ",4671
"MORRISTOWN AIRPORT, NJ",4681
"JOHN F KENNEDY INTL AIRPORT, NY",4701
"NYACC, JAMAICA, NY",4771
"DHL AIRWAYS, JAMAICA, NY",4772
"MICOM, JAMAICA, NY",4773
"AIR FRANCE (MACH PLUS), JAMAICA, NY",4774
"TNT SKYPAK, JAMAICA, NY",4778
"AGUADILLA, PR",4901
"FAJARDO, PR",4904
"MAYAGUEZ, PR",4907
"PONCE, PR",4908
"SAN JUAN, PR",4909
"SAN JUAN INTL AIRPORT, PR",4913
"CHARLOTTE AMALIE, VI",5101
"CRUZ BAY, VI",5102
"CHRISTIANSTED, VI",5104
"FREDERIKSTED, VI",5105
"MIAMI, FL",5201
"KEY WEST, FL",5202
"PORT EVERGLADES, FL",5203
"WEST PALM BEACH, FL",5204
"FORT PIERCE, FL",5205
MIAMI INTL AIRPORT,5206
FT. LAUDERDALE-HOLLYWOOD INTL AIRP,5210
"UPS COURIER HUB, MIAMI, FL",5295
"DHL WORLDWIDE EXPRESS, MIAMI, FL",5296
"FEDEX COURIER HUB, MIAMI, FL",5297
"IBC COURIER HUB, FL",5298
"HOUSTON, TX",5301
"TEXAS CITY, TX",5306
"HOUSTON INTERCONTL AIRP, TX",5309
"GALVESTON, TX",5310
"FREEPORT, TX",5311
"CORPUS CHRISTI, TX",5312
"PORT LAVACA, TX",5313
"SUGAR LAND REG AIRP, SUGAR LAND, TX",5381
"WASHINGTON, DC",5401
"ALEXANDRIA, VA",5402
"DALLAS/FT. WORTH, TX",5501
"AMARILLO, TX",5502
"LUBBOCK, TX",5503
"OKLAHOMA CITY, OK",5504
"TULSA, OK",5505
"AUSTIN, TX",5506
"SAN ANTONIO, TX",5507
"MIDLAND INTL AIRPORT, MIDLAND, TX",5582
"FORTH WORTH ALLIANCE AIRP, TX",5583
"ADDISON AIRPORT, ADDISON, TX",5584
"DALLAS LOVE FIELD USER FEE AIRP, DALLAS, TX",5588
