PORT,I_COMMODITY,GEN_VAL_YR,I_COMMODITY_SDESC,COMM_LVL,time
5201,01,510574.0,LIVE ANIMALS,HS2,2013-12
5201,02,37157403.0,MEAT AND EDIBLE MEAT OFFAL,HS2,2013-12
5201,03,586147418.0,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",HS2,2013-12
5201,04,28550810.0,DAIRY PRODS; BIRDS EGGS; HONEY; ED ANIMAL PR NESOI,HS2,2013-12
5201,05,25786733.0,"PRODUCTS OF ANIMAL ORIGIN, NESOI",HS2,2013-12
5201,06,11080717.0,"LIVE TREES, PLANTS, BULBS ETC.; CUT FLOWERS ETC.",HS2,2013-12
5201,07,127158317.0,EDIBLE VEGETABLES & CERTAIN ROOTS & TUBERS,HS2,2013-12
5201,08,134436197.0,EDIBLE FRUIT & NUTS; CITRUS FRUIT OR MELON PEEL,HS2,2013-12
5201,09,100626175.0,"COFFEE, TEA, MATE & SPICES",HS2,2013-12
5201,12,15166578.0,"OIL SEEDS ETC.; MISC GRAIN, SEED, FRUIT, PLANT ETC",HS2,2013-12
5201,10,41830103.0,CEREALS,HS2,2013-12
5201,11,1115729.0,MILLING PRODUCTS; MALT; STARCH; INULIN; WHT GLUTEN,HS2,2013-12
5201,13,520352.0,"LAC; GUMS, RESINS & OTHER VEGETABLE SAP & EXTRACT",HS2,2013-12
5201,14,1120453.0,VEGETABLE PLAITING MATERIALS & PRODUCTS NESOI,HS2,2013-12
5201,15,19542127.0,"ANIMAL OR VEGETABLE FATS, OILS ETC. & WAXES",HS2,2013-12
5201,16,201131140.0,"EDIBLE PREPARATIONS OF MEAT, FISH, CRUSTACEANS ETC",HS2,2013-12
5201,18,12400022.0,COCOA AND COCOA PREPARATIONS,HS2,2013-12
5201,17,7397441.0,SUGARS AND SUGAR CONFECTIONARY,HS2,2013-12
5201,19,39679744.0,"PREP CEREAL, FLOUR, STARCH OR MILK; BAKERS WARES",HS2,2013-12
5201,20,156992682.0,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",HS2,2013-12
5201,21,26508551.0,MISCELLANEOUS EDIBLE PREPARATIONS,HS2,2013-12
5201,23,3344278.0,FOOD INDUSTRY RESIDUES & WASTE; PREP ANIMAL FEED,HS2,2013-12
5201,24,487994766.0,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,HS2,2013-12
5201,22,632375909.0,"BEVERAGES, SPIRITS AND VINEGAR",HS2,2013-12
5201,26,201142.0,"ORES, SLAG AND ASH",HS2,2013-12
5201,25,4927426.0,SALT; SULFUR; EARTH & STONE; LIME & CEMENT PLASTER,HS2,2013-12
5201,27,240212176.0,"MINERAL FUEL, OIL ETC.; BITUMIN SUBST; MINERAL WAX",HS2,2013-12
5201,28,14696047.0,INORG CHEM; PREC & RARE-EARTH MET & RADIOACT,HS2,2013-12
5201,29,35586540.0,ORGANIC CHEMICALS,HS2,2013-12
5201,50,65683.0,"SILK, INCLUDING YARNS AND WOVEN FABRIC THEREOF",HS2,2013-12
5201,45,613916.0,CORK AND ARTICLES OF CORK,HS2,2013-12
5201,51,49931.0,"WOOL & ANIMAL HAIR, INCLUDING YARN & WOVEN FABRIC",HS2,2013-12
5201,46,1944998.0,"MFR OF STRAW, ESPARTO ETC.; BASKETWARE & WICKERWRK",HS2,2013-12
5201,47,2497.0,WOOD PULP ETC; RECOVD (WASTE & SCRAP) PPR & PPRBD,HS2,2013-12
5201,48,143721707.0,PAPER & PAPERBOARD & ARTICLES (INC PAPR PULP ARTL),HS2,2013-12
5201,52,4500119.0,"COTTON, INCLUDING YARN AND WOVEN FABRIC THEREOF",HS2,2013-12
5201,53,3051999.0,VEG TEXT FIB NESOI; VEG FIB & PAPER YNS & WOV FAB,HS2,2013-12
5201,54,6773767.0,"MANMADE FILAMENTS, INCLUDING YARNS & WOVEN FABRICS",HS2,2013-12
5201,43,354068.0,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,HS2,2013-12
5201,44,126277971.0,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,HS2,2013-12
5201,49,16399038.0,"PRINTED BOOKS, NEWSPAPERS ETC; MANUSCRIPTS ETC",HS2,2013-12
5201,39,267050517.0,PLASTICS AND ARTICLES THEREOF,HS2,2013-12
5201,41,6418848.0,RAW HIDES AND SKINS (NO FURSKINS) AND LEATHER,HS2,2013-12
5201,33,538951905.0,"ESSENTIAL OILS ETC; PERFUMERY, COSMETIC ETC PREPS",HS2,2013-12
5201,34,17950964.0,"SOAP ETC; WAXES, POLISH ETC;",HS2,2013-12
5201,35,5735305.0,ALBUMINOIDAL SUBST; MODIFIED STARCH; GLUE; ENZYMES,HS2,2013-12
5201,42,104380607.0,LEATHER ART; SADDLERY ETC; HANDBAGS ETC; GUT,HS2,2013-12
5201,36,1535688.0,EXPLOSIVES; PYROTECHNICS; MATCHES; PYRO ALLOYS ETC,HS2,2013-12
5201,37,29296710.0,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,HS2,2013-12
5201,30,157839186.0,PHARMACEUTICAL PRODUCTS,HS2,2013-12
5201,38,28833577.0,MISCELLANEOUS CHEMICAL PRODUCTS,HS2,2013-12
5201,40,160887747.0,RUBBER AND ARTICLES THEREOF,HS2,2013-12
5201,31,2937780.0,FERTILIZERS,HS2,2013-12
5201,32,27228454.0,"TANNING & DYE EXT ETC; DYE, PA",HS2,2013-12
5201,63,91983018.0,TEXTILE ART NESOI; NEEDLECRAFT SETS; WORN TEXT ART,HS2,2013-12
5201,65,18398389.0,HEADGEAR AND PARTS THEREOF,HS2,2013-12
5201,68,85205582.0,"ART OF STONE, PLASTER, CEMENT, ASBESTOS, MICA ETC.",HS2,2013-12
5201,64,200071521.0,"FOOTWEAR, GAITERS ETC. AND PARTS THEREOF",HS2,2013-12
5201,69,90717768.0,CERAMIC PRODUCTS,HS2,2013-12
5201,66,7374670.0,"UMBRELLAS, WALKING-STICKS, RIDING-CROPS ETC, PARTS",HS2,2013-12
5201,67,37052742.0,"PREP FEATHERS, DOWN ETC; ARTIF FLOWERS; H HAIR ART",HS2,2013-12
5201,55,5500722.0,"MANMADE STAPLE FIBERS, INCL YARNS & WOVEN FABRICS",HS2,2013-12
5201,57,10129054.0,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,HS2,2013-12
5201,58,2872744.0,SPEC WOV FABRICS; TUFTED FAB; LACE; TAPESTRIES ETC,HS2,2013-12
5201,59,27012692.0,IMPREGNATED ETC TEXT FABRICS; TEX ART FOR INDUSTRY,HS2,2013-12
5201,62,879705032.0,"APPAREL ARTICLES AND ACCESSORIES, NOT KNIT ETC.",HS2,2013-12
5201,60,2628547.0,KNITTED OR CROCHETED FABRICS,HS2,2013-12
5201,56,9232225.0,"WADDING, FELT ETC; SP YARN; TWINE, ROPES ETC.",HS2,2013-12
5201,61,2174538201.0,"APPAREL ARTICLES AND ACCESSORIES, KNIT OR CROCHET",HS2,2013-12
5201,83,67092471.0,MISCELLANEOUS ARTICLES OF BASE METAL,HS2,2013-12
5201,85,1568493495.0,ELECTRIC MACHINERY ETC; SOUND,HS2,2013-12
5201,84,1267442313.0,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",HS2,2013-12
5201,78,1039105.0,LEAD AND ARTICLES THEREOF,HS2,2013-12
5201,79,652967.0,ZINC AND ARTICLES THEREOF,HS2,2013-12
5201,80,257537.0,TIN AND ARTICLES THEREOF,HS2,2013-12
5201,71,22722656.0,"NAT ETC PEARLS, PREC ETC STON",HS2,2013-12
5201,81,216952.0,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,HS2,2013-12
5201,82,52101305.0,"TOOLS, CUTLERY ETC. OF BASE METAL & PARTS THEREOF",HS2,2013-12
5201,72,9844804.0,IRON AND STEEL,HS2,2013-12
5201,73,120131674.0,ARTICLES OF IRON OR STEEL,HS2,2013-12
5201,74,29081297.0,COPPER AND ARTICLES THEREOF,HS2,2013-12
5201,70,56486156.0,GLASS AND GLASSWARE,HS2,2013-12
5201,75,609019.0,NICKEL AND ARTICLES THEREOF,HS2,2013-12
5201,76,66804226.0,ALUMINUM AND ARTICLES THEREOF,HS2,2013-12
5201,97,23223045.0,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES",HS2,2013-12
5201,98,232037794.0,"SPECIAL CLASSIFICATION PROVISIONS, NESOI",HS2,2013-12
5201,94,533015695.0,FURNITURE; BEDDING ETC; LAMPS NESOI ETC,HS2,2013-12
5201,88,20658498.0,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",HS2,2013-12
5201,91,48182654.0,CLOCKS AND WATCHES AND PARTS THEREOF,HS2,2013-12
5201,89,35665571.0,"SHIPS, BOATS AND FLOATING STRUCTURES",HS2,2013-12
5201,95,156510014.0,"TOYS, GAMES & SPORT EQUIPMENT; PARTS & ACCESSORIES",HS2,2013-12
5201,86,6523378.0,RAILWAY OR TRAMWAY STOCK ETC,HS2,2013-12
5201,90,378859674.0,"OPTIC, PHOTO ETC, MEDIC OR S",HS2,2013-12
5201,96,54864538.0,MISCELLANEOUS MANUFACTURED ARTICLES,HS2,2013-12
5201,87,240009190.0,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC",HS2,2013-12
5201,92,6955252.0,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,HS2,2013-12
5201,93,3901793.0,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,HS2,2013-12
5203,02,66096943.0,MEAT AND EDIBLE MEAT OFFAL,HS2,2013-12
5203,03,340042462.0,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",HS2,2013-12
5203,04,15621365.0,DAIRY PRODS; BIRDS EGGS; HONEY; ED ANIMAL PR NESOI,HS2,2013-12
5203,05,15364291.0,"PRODUCTS OF ANIMAL ORIGIN, NESOI",HS2,2013-12
5203,06,9326533.0,"LIVE TREES, PLANTS, BULBS ETC.; CUT FLOWERS ETC.",HS2,2013-12
5203,07,148579141.0,EDIBLE VEGETABLES & CERTAIN ROOTS & TUBERS,HS2,2013-12
5203,08,281647743.0,EDIBLE FRUIT & NUTS; CITRUS FRUIT OR MELON PEEL,HS2,2013-12
