    DATE,State,UnempRate
2010-01-01,Alabama,11.1
2010-01-01,Alaska,8.4
2010-01-01,Arizona,10.6
2010-01-01,Arkansas,7.9
2010-01-01,California,12.6
2010-01-01,Colorado,8.8
2010-01-01,Connecticut,9.5
2010-01-01,Delaware,9.1
2010-01-01,Florida,10.9
2010-01-01,Georgia,10.8
2010-01-01,Hawaii,6.9
2010-01-01,Idaho,9.1
2010-01-01,Illinois,11.4
2010-01-01,Indiana,10.7
2010-01-01,Iowa,6.5
2010-01-01,Kansas,7.2
2010-01-01,Kentucky,10.9
2010-01-01,Louisiana,7.1
2010-01-01,Maine,8.7
2010-01-01,Maryland,8.1
2010-01-01,Massachusetts,8.5
2010-01-01,Michigan,13.2
2010-01-01,Minnesota,7.8
2010-01-01,Mississippi,10.5
2010-01-01,Missouri,9.7
2010-01-01,Montana,7.5
2010-01-01,Nebraska,4.9
2010-01-01,Nevada,13.5
2010-01-01,New Hampshire,6.7
2010-01-01,New Jersey,10.0
2010-01-01,New Mexico,7.8
2010-01-01,New York,9.0
2010-01-01,North Carolina,11.2
2010-01-01,North Dakota,3.9
2010-01-01,Ohio,11.1
2010-01-01,Oklahoma,7.0
2010-01-01,Oregon,10.8
2010-01-01,Pennsylvania,8.4
2010-01-01,Rhode Island,11.8
2010-01-01,South Carolina,12.0
2010-01-01,South Dakota,5.6
2010-01-01,Tennessee,10.5
2010-01-01,Texas,8.3
2010-01-01,Utah,8.0
2010-01-01,Vermont,6.7
2010-01-01,Virginia,7.6
2010-01-01,Washington,9.3
2010-01-01,West Virginia,9.8
2010-01-01,Wisconsin,9.3
2010-01-01,Wyoming,7.6
2010-01-01,District of Columbia,10.5
2010-02-01,Alabama,11.0
2010-02-01,Alaska,8.4
2010-02-01,Arizona,10.6
2010-02-01,Arkansas,7.9
2010-02-01,California,12.6
2010-02-01,Colorado,9.0
2010-02-01,Connecticut,9.6
2010-02-01,Delaware,9.0
2010-02-01,Florida,10.9
2010-02-01,Georgia,10.8
2010-02-01,Hawaii,6.9
2010-02-01,Idaho,9.1
2010-02-01,Illinois,11.3
2010-02-01,Indiana,10.7
2010-02-01,Iowa,6.4
2010-02-01,Kansas,7.2
2010-02-01,Kentucky,10.8
2010-02-01,Louisiana,7.2
2010-02-01,Maine,8.7
2010-02-01,Maryland,8.1
2010-02-01,Massachusetts,8.4
2010-02-01,Michigan,13.1
2010-02-01,Minnesota,7.7
2010-02-01,Mississippi,10.5
2010-02-01,Missouri,9.7
2010-02-01,Montana,7.5
2010-02-01,Nebraska,4.9
2010-02-01,Nevada,13.6
2010-02-01,New Hampshire,6.6
2010-02-01,New Jersey,9.9
2010-02-01,New Mexico,7.8
2010-02-01,New York,9.0
2010-02-01,North Carolina,11.2
2010-02-01,North Dakota,3.9
2010-02-01,Ohio,11.1
2010-02-01,Oklahoma,6.9
2010-02-01,Oregon,10.9
2010-02-01,Pennsylvania,8.5
2010-02-01,Rhode Island,11.9
2010-02-01,South Carolina,11.8
2010-02-01,South Dakota,5.5
2010-02-01,Tennessee,10.4
2010-02-01,Texas,8.3
2010-02-01,Utah,8.0
2010-02-01,Vermont,6.6
2010-02-01,Virginia,7.6
2010-02-01,Washington,9.3
2010-02-01,West Virginia,10.4
2010-02-01,Wisconsin,9.2
2010-02-01,Wyoming,7.6
2010-02-01,District of Columbia,10.3
2010-03-01,Alabama,10.9
2010-03-01,Alaska,8.4
2010-03-01,Arizona,10.6
2010-03-01,Arkansas,7.9
2010-03-01,California,12.6
2010-03-01,Colorado,9.1
2010-03-01,Connecticut,9.7
2010-03-01,Delaware,9.0
2010-03-01,Florida,10.9
2010-03-01,Georgia,10.8
2010-03-01,Hawaii,6.9
2010-03-01,Idaho,9.0
2010-03-01,Illinois,11.2
2010-03-01,Indiana,10.6
2010-03-01,Iowa,6.3
2010-03-01,Kansas,7.1
2010-03-01,Kentucky,10.7
2010-03-01,Louisiana,7.3
2010-03-01,Maine,8.7
2010-03-01,Maryland,8.0
2010-03-01,Massachusetts,8.4
2010-03-01,Michigan,12.9
2010-03-01,Minnesota,7.6
2010-03-01,Mississippi,10.4
2010-03-01,Missouri,9.6
2010-03-01,Montana,7.4
2010-03-01,Nebraska,4.9
2010-03-01,Nevada,13.7
2010-03-01,New Hampshire,6.5
2010-03-01,New Jersey,9.9
2010-03-01,New Mexico,7.9
2010-03-01,New York,8.9
2010-03-01,North Carolina,11.2
2010-03-01,North Dakota,3.9
2010-03-01,Ohio,10.9
2010-03-01,Oklahoma,6.8
2010-03-01,Oregon,10.9
2010-03-01,Pennsylvania,8.5
2010-03-01,Rhode Island,11.8
2010-03-01,South Carolina,11.7
2010-03-01,South Dakota,5.4
2010-03-01,Tennessee,10.2
2010-03-01,Texas,8.3
2010-03-01,Utah,8.0
2010-03-01,Vermont,6.6
2010-03-01,Virginia,7.6
2010-03-01,Washington,9.3
2010-03-01,West Virginia,9.6
2010-03-01,Wisconsin,9.0
2010-03-01,Wyoming,7.5
2010-03-01,District of Columbia,10.2
2010-04-01,Alabama,10.5
2010-04-01,Alaska,8.3
2010-04-01,Arizona,10.5
2010-04-01,Arkansas,7.8
2010-04-01,California,12.5
2010-04-01,Colorado,9.1
2010-04-01,Connecticut,9.6
2010-04-01,Delaware,8.8
2010-04-01,Florida,10.9
2010-04-01,Georgia,10.7
2010-04-01,Hawaii,6.8
2010-04-01,Idaho,8.9
2010-04-01,Illinois,10.9
2010-04-01,Indiana,10.4
2010-04-01,Iowa,6.2
2010-04-01,Kansas,7.0
2010-04-01,Kentucky,10.5
2010-04-01,Louisiana,7.3
2010-04-01,Maine,8.6
2010-04-01,Maryland,7.9
2010-04-01,Massachusetts,8.3
2010-04-01,Michigan,12.7
2010-04-01,Minnesota,7.5
2010-04-01,Mississippi,10.4
2010-04-01,Missouri,9.6
2010-04-01,Montana,7.4
2010-04-01,Nebraska,4.8
2010-04-01,Nevada,13.8
2010-04-01,New Hampshire,6.3
2010-04-01,New Jersey,9.8
2010-04-01,New Mexico,7.9
2010-04-01,New York,8.8
2010-04-01,North Carolina,11.0
2010-04-01,North Dakota,3.8
2010-04-01,Ohio,10.7
2010-04-01,Oklahoma,6.7
2010-04-01,Oregon,10.9
2010-04-01,Pennsylvania,8.4
2010-04-01,Rhode Island,11.8
2010-04-01,South Carolina,11.5
2010-04-01,South Dakota,5.2
2010-04-01,Tennessee,10.0
2010-04-01,Texas,8.2
2010-04-01,Utah,8.0
2010-04-01,Vermont,6.5
2010-04-01,Virginia,7.5
2010-04-01,Washington,9.2
2010-04-01,West Virginia,8.5
2010-04-01,Wisconsin,8.8
2010-04-01,Wyoming,7.2
2010-04-01,District of Columbia,10.0
2010-05-01,Alabama,10.3
2010-05-01,Alaska,8.2
2010-05-01,Arizona,10.4
2010-05-01,Arkansas,7.8
2010-05-01,California,12.5
2010-05-01,Colorado,9.0
